id,descriptor_id,nombre,created_at,updated_at
5240,5238,Requisito de colaboración para la configuración de la segunda parte de este delito,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8103,1848,Calificación del delito,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8104,8103,"En base a los medios probatorios y el principio iura novit curia, el Tribunal de Sentencia puede cambiar la calificación del delito",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1923,1801,Contra la función pública,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4671,1923,Delitos cometidos por funcionarios públicos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1924,4671,Incumplimiento de deberes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1925,1924,Naturaleza jurídica,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6831,1924,"Se cumple con la adecuación del tipo si se citó los verbos rectores del ilícito, individualizando al imputado por nombre, cargo y función desempeñada",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8117,1924,Calificación de la conducta,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8118,8117,"Debe ser dolosa y relacionada con los actos propios de la función, siendo necesario que retarde, rehúse u omita cumplirlas",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1958,4671,Resoluciones Contrarias a la Constitución y a las Leyes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1959,1958,Momento de consumación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1973,4671,Peculado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1974,1973,Núcleo del delito o verbo rector,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10384,1974,Apropiación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5869,1973,Disposición como propia de dineros,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10130,1973,Elemento subjetivo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
